#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-04-06 08:38:50 EDT     (vaww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09246500 ELKHEAD CREEK NEAR CRAIG, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	09246500	88	2014-04-28 17:13:00	MDT	Yes	CNM	USGS	4.41	565	Fair		0.30	DebrisHeavy	NONE
USGS	09246500	89	2014-05-29 12:16:00	MDT	Yes	CNM	USGS	4.28	573	Poor		0.30	Clear	NONE
USGS	09246500	90	2014-06-25 11:01:00	MDT	Yes	CNM DMH	USGS	1.89	23.3	Good		0.60	Clear	NONE
USGS	09246500	91	2014-06-25 11:40:00	MDT	Yes	CNM DMH	USGS	1.89	23.0	Good		0.50	Clear	NONE
USGS	09246500	92	2014-08-13 13:58:00	MDT	Yes	CNM	USGS	1.17	0.02	Poor		0.00	Clear	NONE
USGS	09246500	93	2014-10-08 11:54:00	MDT	Yes	CNM RBM	USGS	1.57	5.83	Poor		0.50	Clear	NONE
USGS	09246500	94	2014-10-08 12:30:00	MDT	Yes	CNM RBM	USGS	1.57	5.49	Fair		0.50	Clear	NONE
USGS	09246500	95	2014-11-19 09:17:00	MST	Yes	CNM	USGS	1.77	14.1	Good		0.50	IceShore	NONE
USGS	09246500	96	2015-01-28 15:07:00	MST	Yes	cnm	USGS	2.04	24.4	Poor			IceCover	NONE
USGS	09246500	97	2015-03-23 13:26:30	MDT	Yes	cnm	USGS	3.01	189	Fair	0.00	60.00	Clear	NONE
USGS	09246500	98	2015-05-04 14:24:30	MDT	Yes	cnm	USGS	3.33	304	Fair			Clear	NONE
USGS	09246500	99	2015-06-05 13:30:30	MDT	Yes	CNM	USGS	2.82	157	Fair			Clear	NONE
USGS	09246500	100	2015-06-05 14:20:30	MDT	Yes	CNM	USGS	2.82	156	Fair			Clear	NONE
USGS	09246500	101	2015-06-10 12:54:00	MDT	Yes	CNM	USGS	2.27	62.3	Fair			Clear	NONE
USGS	09246500	102	2015-06-24 17:15:00	MDT	Yes	CNM/AAH	USGS	1.96	29.4	Good			Clear	NONE
USGS	09246500	103	2015-07-01 14:54:00	MDT	Yes	CNM/CMM	USGS	1.48	3.19	Fair			Clear	NONE
USGS	09246500	104	2015-07-27 18:13:00	MDT	Yes	CNM	USGS	1.57	6.51	Fair			Clear	NONE
USGS	09246500	105	2015-09-09 15:37:00	MDT	Yes	CNM	USGS	2.18	51.2	Fair			Clear	NONE
USGS	09246500	106	2015-10-01 10:47:00	MDT	Yes	CNM CMM	USGS	2.33	69.6	Good			Clear	NONE
USGS	09246500	107	2015-12-02 09:52:30	MST	Yes	CNM	USGS	1.35	0.65	Poor			IceCover	NONE
USGS	09246500	108	2016-02-05 10:19:00	MST	Yes	CNM	USGS	1.79	3.79	Fair			IceCover	NONE
USGS	09246500	109	2016-03-28 17:04:30	MDT	Yes	CNM	USGS	2.28	64.0	Fair			Clear	NONE
